"","V1","V2"
"1",-75.2016763016032,39.8665136182365
"2",-75.1887687865731,39.872322
"3",-75.168116762525,39.872322
"4",-75.1429471082164,39.8755488787575
"5",-75.1377841022044,39.8845841392786
"6",-75.1287488416834,39.9026546603206
"7",-75.1313303446894,39.9110445450902
"8",-75.1371387264529,39.9284696903808
"9",-75.1364933507014,39.9439587084168
"10",-75.1306849689379,39.9529939689379
"11",-75.1151959509018,39.9620292294589
"12",-75.0977708056112,39.9678376112224
"13",-75.0835725390781,39.97106448998
"14",-75.0655020180361,39.978808998998
"15",-75.0532398787575,39.9930072655311
"16",-75.0442046182365,40.0065601563126
"17",-75.0274248486974,40.0149500410822
"18",-75.0125812064128,40.0175315440882
"19",-74.9977375641282,40.0233399258517
"20",-74.9822485460922,40.0356020651303
"21",-74.9654687765531,40.0465734529058
"22",-74.9680502795591,40.0549633376754
"23",-74.9745040370741,40.0556087134269
"24",-74.9764401643287,40.0588355921844
"25",-74.9725679098196,40.0607717194389
"26",-74.9719225340681,40.0659347254509
"27",-74.9661141523046,40.0710977314629
"28",-74.9615965220441,40.0749699859719
"29",-74.9622418977956,40.0781968647295
"30",-74.9570788917836,40.078842240481
"31",-74.952561261523,40.081423743487
"32",-74.948689007014,40.0885228767535
"33",-74.9480436312625,40.094331258517
"34",-74.9467528797595,40.1001396402806
"35",-74.9532066372745,40.1020757675351
"36",-74.952561261523,40.1111110280561
"37",-74.9557881402806,40.1124017795591
"38",-74.9551427645291,40.1175647855711
"39",-74.9551427645291,40.1233731673347
"40",-74.9583696432866,40.1240185430862
"41",-74.9603057705411,40.1240185430862
"42",-74.9680502795591,40.1266000460922
"43",-74.9725679098196,40.1259546703407
"44",-74.9745040370741,40.1285361733467
"45",-74.9809577945892,40.1304723006012
"46",-74.9835392975952,40.1324084278557
"47",-74.9861208006012,40.1330538036072
"48",-74.9848300490982,40.1369260581162
"49",-74.9880569278557,40.1382168096192
"50",-74.9919291823647,40.1356353066132
"51",-75.0112904549098,40.1453159428858
"52",-75.0145173336673,40.1401529368738
"53",-75.044849993988,40.1188555370742
"54",-75.056466757515,40.1117564038076
"55",-75.0738919028056,40.0936858827655
"56",-75.0964800541082,40.0717431072144
"57",-75.0893809208417,40.0652893496994
"58",-75.0938985511022,40.0581902164329
"59",-75.1093875691383,40.0504457074148
"60",-75.1119690721443,40.0485095801603
"61",-75.1829604048096,40.089168252505
"62",-75.1945771683367,40.076260737475
"63",-75.2326543376753,40.098203513026
"64",-75.275894513026,40.0562540891784
"65",-75.274603761523,40.0523818346693
"66",-75.266859252505,40.0472188286573
"67",-75.26040549499,40.0433465741483
"68",-75.2545971132265,40.0368928166333
"69",-75.2507248587174,40.0343113136273
"70",-75.2442711012024,40.0285029318637
"71",-75.2358812164329,40.0239853016032
"72",-75.2268459559118,40.0188222955912
"73",-75.2191014468938,40.0136592895792
"74",-75.2158745681363,40.0117231623246
"75",-75.2184560711423,40.0084962835671
"76",-75.2920289068136,39.9717098657315
"77",-75.2907381553106,39.9678376112224
"78",-75.2888020280561,39.9646107324649
"79",-75.2829936462926,39.9633199809619
"80",-75.2765398887776,39.9600931022044
"81",-75.27331301002,39.9613838537074
"82",-75.2700861312625,39.9600931022044
"83",-75.266859252505,39.9588023507014
"84",-75.262986997996,39.9613838537074
"85",-75.259114743487,39.9581569749499
"86",-75.261696246493,39.9562208476954
"87",-75.2623416222445,39.9536393446894
"88",-75.26040549499,39.9504124659319
"89",-75.2623416222445,39.9484763386774
"90",-75.262986997996,39.9458948356713
"91",-75.261696246493,39.9420225811623
"92",-75.2584693677355,39.9387957024048
"93",-75.256533240481,39.9362141993988
"94",-75.2545971132265,39.9362141993988
"95",-75.2513702344689,39.9349234478958
"96",-75.2520156102204,39.9323419448898
"97",-75.2487887314629,39.9323419448898
"98",-75.2455618527054,39.9316965691383
"99",-75.2455618527054,39.9297604418838
"100",-75.2481433557114,39.9271789388778
"101",-75.2507248587174,39.9271789388778
"102",-75.2539517374749,39.9258881873747
"103",-75.2545971132265,39.9233066843687
"104",-75.256533240481,39.9174983026052
"105",-75.2584693677355,39.9116899208417
"106",-75.259114743487,39.9065269148297
"107",-75.262986997996,39.9020092845691
"108",-75.262986997996,39.8981370300601
"109",-75.264277749499,39.8949101513026
"110",-75.2700861312625,39.8858748907816
"111",-75.27331301002,39.8839387635271
"112",-75.274603761523,39.8820026362725
"113",-75.2752491372746,39.880066509018
"114",-75.275894513026,39.880066509018
"115",-75.2771852645291,39.878775757515
"116",-75.275894513026,39.876194254509
"117",-75.275894513026,39.874903503006
"118",-75.275894513026,39.8716766242485
"119",-75.274603761523,39.8690951212425
"120",-75.2713768827655,39.867158993988
"121",-75.264277749499,39.8665136182365
"122",-75.26040549499,39.8665136182365
"123",-75.2558878647295,39.864577490982
"124",-75.2513702344689,39.8626413637275
"125",-75.2487887314629,39.863286739479
"126",-75.2442711012024,39.8652228667335
"127",-75.2403988466934,39.865868242485
"128",-75.2332997134269,39.8652228667335
"129",-75.2281367074148,39.8652228667335
"130",-75.2249098286573,39.864577490982
"131",-75.2249098286573,39.8607052364729
"132",-75.2203921983968,39.8561876062124
"133",-75.2165199438878,39.8581237334669
"134",-75.2107115621242,39.8607052364729
"135",-75.2061939318637,39.8626413637275
