"Latitude","Longitude","LAW_CAT_CD"
40.8211182860001,-73.9274809739999,"MISDEMEANOR"
40.7166410250001,-73.93923197,"MISDEMEANOR"
40.7176838330001,-73.817123684,"FELONY"
40.59991032,-73.7615902649999,"MISDEMEANOR"
40.771993179,-73.986469853,"MISDEMEANOR"
40.756046025,-73.984866869,"VIOLATION"
40.8512825440001,-73.8951764289999,"MISDEMEANOR"
40.750995779,-73.901542084,"MISDEMEANOR"
40.7522284,-73.971924858,"MISDEMEANOR"
40.891202169,-73.861979708,"MISDEMEANOR"
40.659502392,-73.94904797,"FELONY"
40.749395216,-73.982825614,"FELONY"
40.7553167070001,-73.993053262,"FELONY"
40.6807856130001,-73.974475116,"MISDEMEANOR"
40.7534640760001,-73.994399743,"FELONY"
40.6338660270001,-74.026817668,"FELONY"
40.679700408,-73.776047368,"FELONY"
40.71417288,-74.006310474,"VIOLATION"
40.6799223190001,-73.940768867,"MISDEMEANOR"
40.67931811,-73.791710272,"MISDEMEANOR"
40.663597564,-73.991091158,"MISDEMEANOR"
40.712199486,-73.9956548759999,"MISDEMEANOR"
40.5978629410001,-74.0016938799999,"FELONY"
40.7192725680001,-73.992407669,"MISDEMEANOR"
40.7887440740001,-73.97053357,"MISDEMEANOR"
40.737158831,-73.930816361,"VIOLATION"
40.6162459870001,-73.980752739,"MISDEMEANOR"
40.755259515,-73.879626437,"FELONY"
40.715594426,-73.8329582659999,"MISDEMEANOR"
40.6551878450001,-74.0036054729999,"VIOLATION"
40.744688551,-73.98729822,"FELONY"
40.8718768350001,-73.87915138,"MISDEMEANOR"
40.681270505,-73.9846927469999,"MISDEMEANOR"
40.807893289,-73.917911949,"MISDEMEANOR"
40.715239411,-73.751777148,"MISDEMEANOR"
40.59944719,-73.950890707,"MISDEMEANOR"
40.697813554,-73.9050935239999,"VIOLATION"
40.664282998,-73.771881826,"VIOLATION"
40.8462720270001,-73.8850351299999,"FELONY"
40.787770322,-73.97310157,"VIOLATION"
40.62900726,-74.014174135,"MISDEMEANOR"
40.66416202,-73.94681682,"MISDEMEANOR"
40.83350159,-73.897426863,"FELONY"
40.691223903,-73.993892919,"VIOLATION"
40.803905237,-73.952036608,"FELONY"
40.82211655,-73.9006130769999,"MISDEMEANOR"
40.8119209860001,-73.9425515839999,"MISDEMEANOR"
40.758228256,-73.986122517,"MISDEMEANOR"
40.9030519140001,-73.8495507759999,"FELONY"
40.8939039950001,-73.8561001259999,"MISDEMEANOR"
40.828719891,-73.945066481,"MISDEMEANOR"
40.6630445700001,-73.9523397359999,"MISDEMEANOR"
40.7573960670001,-73.982256851,"MISDEMEANOR"
40.7298995890001,-73.861512805,"MISDEMEANOR"
40.7647199690001,-73.989915229,"FELONY"
40.757379417,-73.834019371,"MISDEMEANOR"
40.672818733,-73.93074611,"MISDEMEANOR"
40.629228325,-73.929930312,"FELONY"
40.660816444,-73.9152815529999,"MISDEMEANOR"
40.764496621,-73.9599671569999,"FELONY"
40.7308586560001,-73.7363988129999,"FELONY"
40.805830187,-73.9617809009999,"VIOLATION"
40.8480255360001,-73.8874538009999,"VIOLATION"
40.592336182,-73.9814869589999,"MISDEMEANOR"
40.687973431,-73.7665074439999,"MISDEMEANOR"
40.667104506,-73.922753268,"MISDEMEANOR"
40.831757592,-73.8668079239999,"FELONY"
40.7336436260001,-73.986932281,"MISDEMEANOR"
40.865658464,-73.891310558,"FELONY"
40.7027512120001,-74.0142150629999,"FELONY"
40.6607470870001,-73.952092679,"FELONY"
40.640053847,-74.086121846,"VIOLATION"
40.765126691,-73.8135278299999,"FELONY"
40.8304474070001,-73.875790162,"FELONY"
40.782495178,-73.820274958,"FELONY"
40.7546242810001,-73.941835801,"VIOLATION"
40.6237714260001,-73.9341435689999,"FELONY"
40.886158735,-73.863075145,"FELONY"
40.7068249970001,-73.908950816,"FELONY"
